|topic_0|topic_1|topic_2|topic_3|topic_4|topic_5|topic_6|topic_7|topic_8|topic_9|topic_10|topic_11|topic_12|topic_13|topic_14|topic_15|topic_16|topic_17|topic_18|topic_19|topic_20|topic_21|topic_22|topic_23|topic_24|topic_25|topic_26|topic_27|topic_28|topic_29|topic_30|topic_31|topic_32|topic_33|topic_34|topic_35|topic_36|topic_37|topic_38|topic_39|topic_40|topic_41|topic_42|topic_43|topic_44|topic_45|topic_46|
doc_834 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_835 |      X|      X|      X|       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_836 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_837 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_838 |       |       |      X|       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |       X|        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_839 |       |       |      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_840 |      X|      X|       |       |       |      X|       |       |      X|       |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_841 |       |       |       |       |       |       |       |       |      X|      X|        |       X|        |       X|        |        |       X|        |       X|        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_842 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_843 |       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_844 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_845 |       |       |       |       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |
doc_846 |      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_847 |      X|      X|      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_848 |       |       |       |       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_849 |       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_850 |       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_851 |       |       |       |       |       |      X|       |       |      X|       |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_852 |      X|      X|       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_853 |       |       |       |       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_854 |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |
doc_855 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_856 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_857 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_858 |      X|      X|      X|       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_859 |      X|      X|      X|       |      X|       |       |       |       |       |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_860 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_861 |       |       |      X|       |       |       |       |       |      X|       |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_862 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |       X|       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_863 |      X|      X|      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_864 |      X|       |       |       |      X|       |       |       |       |       |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_865 |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_866 |      X|      X|      X|       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_867 |       |      X|       |       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_868 |      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_869 |       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|
doc_870 |      X|       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_871 |       |       |       |       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_872 |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_873 |      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_874 |       |       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_875 |      X|       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_876 |      X|      X|       |       |       |      X|       |       |      X|      X|        |       X|        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_877 |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_878 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_879 |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_880 |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_881 |      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_882 |       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |
doc_883 |      X|       |      X|       |       |       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_884 |       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_885 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |
doc_886 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_887 |      X|       |      X|       |       |       |       |       |      X|       |        |       X|        |        |        |        |       X|       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_888 |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_889 |      X|       |      X|       |      X|       |       |       |       |      X|        |       X|       X|        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_890 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_891 |      X|       |      X|       |      X|       |       |       |       |       |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_892 |      X|      X|      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_893 |      X|      X|       |       |       |       |       |       |      X|      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_894 |      X|       |       |       |       |       |       |      X|      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_895 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_896 |       |       |       |       |       |       |       |       |       |      X|        |       X|        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_897 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|       X|        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_898 |       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_899 |      X|       |      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_900 |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_901 |      X|       |       |       |       |      X|       |       |      X|      X|        |       X|        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_902 |      X|       |      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_903 |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_904 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_905 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_906 |       |       |      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_907 |      X|      X|       |       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_908 |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_909 |      X|       |      X|       |      X|       |       |       |       |      X|        |       X|        |        |        |        |        |       X|       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_910 |      X|       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_911 |      X|       |      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |       X|        |        |
doc_912 |       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_913 |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |       X|        |        |        |        |        |
doc_914 |      X|       |      X|       |      X|       |       |       |      X|       |        |       X|        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_915 |       |      X|       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_916 |       |       |      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_917 |       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_918 |       |      X|       |       |      X|      X|       |       |      X|       |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_919 |       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_920 |       |       |       |       |      X|       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_921 |       |      X|      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_922 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_923 |       |       |       |       |       |       |       |       |      X|       |        |       X|        |       X|        |        |        |       X|        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_924 |      X|      X|       |       |       |       |       |       |      X|       |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_925 |      X|      X|      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_926 |       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_927 |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_928 |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_929 |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_930 |       |       |       |       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_931 |      X|       |      X|       |       |       |       |       |       |      X|        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_932 |       |       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|       X|        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_933 |       |      X|       |       |      X|       |       |       |       |       |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_934 |       |       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_935 |       |       |       |       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_936 |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_937 |      X|       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_938 |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_939 |       |       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_940 |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |
